Input Sample	B cells memory	B cells naive	Dendritic cells activated	Dendritic cells resting	Eosinophils	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells activated	Mast cells resting	Monocytes	NK cells activated	NK cells resting	Neutrophils	Plasma cells	T cells CD4 memory activated	T cells CD4 memory resting	T cells CD4 naive	T cells CD8	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)	P-value	Pearson Correlation	RMSE
12002841-TT-R	0	0.10752703118171798	0.1178886648117965	0.008939052824652823	0.13724243159046132	0	0	0.13058583149842462	0.011947332763833637	0.131077749253282	0.12087578607680749	0.03504035642877386	0	0	0	0	0.0091953446829757	0	0.1395388220546012	0	0	0.05014159683267286	0.44	0.180791023394944	0.9936295648544384
12003310-TT-R	0	0.07123958119695373	0.03665099917271333	0.006649553960536483	0.33733652403248754	0	0	0.011826181174124699	0	0.1357685170188855	0.24359129940765872	0.005505054507910114	0.018599382061492958	0	0.00937163930636907	0	0.0036393301342208637	0	0.10557685864815364	0	0	0.014245079378493397	0.54	0.12640029367575364	1.0172925509028234
13002183-TT-R	0	0.04010522558725051	0.095236673874874	0.004002224358277624	0.4088294130988762	0	0	0.02609110083824875	0	0.015723525725032293	0.19893139330277632	0	0.03548046390927109	0	0.03763592064414467	0.00970018617709026	0	0	0.10758224145049947	0.005813947601400779	0	0.014867683432258064	0.57	0.11979656552310644	1.0204608960609358
13002327-TT-R	0	0.09806349107957672	0.0789435965411762	0.013483975475274091	0.37939025725929265	0.009820075423709072	0	0.038768280721610274	0	0.009426162002794286	0.20642229274989915	0.014693845474961099	0	0	0.011242409218388599	0	0.0216508020624274	0	0.09919997622803865	0	0	0.018894835762851715	0.34	0.26798550017561656	0.9653413141205374
13002461-TT-R	0	0.07322018415840675	0	0.007487037920403602	0.32316685785870886	0.0011520438508897236	0.002552519868193209	0.040309554051578746	0	0.16493927694615532	0.1569089372134029	0.008442593414247027	0.01895651217464912	0	0	0	0.04777612095480474	0	0.11801121253485193	0	0	0.03707714905370808	0.74	0.009983112421982684	1.0625170564153001
13002506-TT-R	0	0.07492077782684975	0.07663892436052361	0.011835581061088556	0.4576208998640313	0	0	0.007674132880771212	0	0	0.18887301398794465	0	0.035145011010652066	0	0	0.0019471693749578162	0	0	0.0756486428699041	0.06969584676327693	0	0	0.5	0.15621389821665715	1.0105549401711822
13003423-TT-R	0	0.07043529547050381	0.053238702335163084	0.00212323469837079	0.3374264786976279	0	0	0	0	0.15017920981040814	0.2341032636947664	0.016529868365408124	0.012490919757719453	0	0.0008	0	0.009820233550977218	0	0.08399152187627282	0.016644396492892656	0	0.012239187063540507	0.59	0.09386544915808041	1.0269266404549493
13003457-TT-R	0	0.16040553956149256	0.08214986222165188	0.01578582511311686	0.2044011376483451	0	0	0.10327818416113087	0.0492084236318579	0.11602807076904476	0.04459389100208848	0.01817330835157086	0	0	0.011422081341549054	0	0	0	0.13903244507280027	0	0	0.05552123112535152	0.57	0.12178117993443952	1.013432964801322
13003473-TT-R	0	0.0669371681361926	0.12201343562342774	0.0010514128053651917	0.32900324670377484	0	0	0	0	0.1136206399997168	0.23742030691330723	0.02076691517486266	0	0	0	0	0	0	0.07759499270105749	0.02783472996320322	0	0.0037571519790921826	0.69	0.03460585637822897	1.0460901050776084
13003494-TT-R	0	0.05256866818122631	0.11073384055829345	0.023198922065069766	0.3732965540350297	0	0	0.016765495837654083	0.024704909207688527	0	0.17782484080270253	0.042729176940280965	0	0	0	0	0.03456267964532715	0	0.12112053087662654	0	0	0.02249438185010093	0.27	0.3082621047410352	0.9489794688868566
13003536-TT-R	0	0.025746152616170206	0.08031340461025248	0.007436191820567281	0.22036368449501872	0.002840222499810409	0	0.04835505750665112	0.02725879118548724	0.13696989765322334	0.1832675262602717	0.03541136272259721	0	0	0.05423798438764896	0	0.017335244871007988	0	0.07866950168417385	0.04329006897376506	0	0.038504908713354435	0.37	0.2512537595206127	0.9654868045569178
13003561-TT-R	0	0.09130158836335103	0.07226017289735254	0.009050692782165491	0.15861401031723574	0	0	0.08586006235212743	0.14813353956601008	0.12793520891284452	0.0856014010017341	0	0.054968495791661104	0	0.023727870831778887	0.029451378895402846	0	0	0.09038947621312654	0.019287981441648637	0	0.003418120633561033	0.58	0.09799231037188093	1.0113204718021223
13003601-TT-R	0	0.07476653718112837	0.09312042474986809	0.024139791002275885	0.2827757161698391	0	0	0.08912258204574354	0.01527585577561793	0.056633039872708346	0.1505473618612963	0.006732060177309494	0.025190752756132296	0	0.011354703642461212	0	0	0	0.11815785998094296	0.04954176213003576	0	0.0026415526546406153	0.43	0.19304033541213125	0.9895000014623193
13003621-TT-R	0	0.05773011897791846	0.08178562133438157	0	0.2237816062375946	0	0	0.004620257120806756	0	0.2740334089429867	0.22396666757330766	0	0.041430985231347625	0	0.0036836533922651807	0	0	0.018362963121154506	0.05942883671437729	0.011153988158539518	0	0	0.78	-0.02	1.055693472768346
